Latitude,Longitude,DateTime
35.751382,139.873010,2021-09-04T07:38:27
35.751382,139.873010,2021-09-04T07:38:28
35.751382,139.873010,2021-09-04T07:38:29
35.751382,139.873010,2021-09-04T07:38:30
35.751382,139.873008,2021-09-04T07:38:31
35.751382,139.873008,2021-09-04T07:38:32
35.751382,139.873008,2021-09-04T07:38:33
35.751382,139.873008,2021-09-04T07:38:34
35.751382,139.873008,2021-09-04T07:38:35
35.751382,139.873008,2021-09-04T07:38:36
35.751382,139.873008,2021-09-04T07:38:37
35.751382,139.873008,2021-09-04T07:38:38
35.751382,139.873007,2021-09-04T07:38:38
35.751382,139.873007,2021-09-04T07:38:39
35.751382,139.873007,2021-09-04T07:38:40
35.751382,139.873007,2021-09-04T07:38:41
35.751380,139.873007,2021-09-04T07:38:41
35.751380,139.873007,2021-09-04T07:38:42
35.751380,139.873007,2021-09-04T07:38:43
35.751380,139.873007,2021-09-04T07:38:44
35.751380,139.873007,2021-09-04T07:38:45
35.751380,139.873007,2021-09-04T07:38:46
35.751380,139.873007,2021-09-04T07:38:47
35.751380,139.873007,2021-09-04T07:38:48
35.751380,139.873007,2021-09-04T07:38:49
35.751380,139.873007,2021-09-04T07:38:50
35.751380,139.873005,2021-09-04T07:38:51
35.751380,139.873005,2021-09-04T07:38:52
35.751380,139.873005,2021-09-04T07:38:53
35.751380,139.873005,2021-09-04T07:38:54
35.751380,139.873005,2021-09-04T07:38:55
35.751380,139.873005,2021-09-04T07:38:56
35.751380,139.873005,2021-09-04T07:38:57
35.751379,139.873005,2021-09-04T07:38:57
35.751379,139.873005,2021-09-04T07:38:58
35.751379,139.873005,2021-09-04T07:38:59
35.751379,139.873005,2021-09-04T07:39:00
35.751379,139.873005,2021-09-04T07:39:01
35.751379,139.873005,2021-09-04T07:39:02
35.751379,139.873005,2021-09-04T07:39:03
35.751379,139.873005,2021-09-04T07:39:04
35.751379,139.873005,2021-09-04T07:39:05
35.751379,139.873005,2021-09-04T07:39:06
35.751379,139.873003,2021-09-04T07:39:06
35.751379,139.873003,2021-09-04T07:39:07
35.751379,139.873003,2021-09-04T07:39:08
35.751379,139.873003,2021-09-04T07:39:09
35.751379,139.873003,2021-09-04T07:39:10
35.751379,139.873003,2021-09-04T07:39:11
35.751379,139.873003,2021-09-04T07:39:12
35.751379,139.873002,2021-09-04T07:39:12
35.751379,139.873002,2021-09-04T07:39:13
35.751380,139.873002,2021-09-04T07:39:13
35.751380,139.873002,2021-09-04T07:39:14
35.751380,139.873002,2021-09-04T07:39:15
35.751380,139.873002,2021-09-04T07:39:16
35.751380,139.873000,2021-09-04T07:39:17
35.751380,139.873000,2021-09-04T07:39:18
35.751380,139.873000,2021-09-04T07:39:19
35.751380,139.873000,2021-09-04T07:39:20
35.751380,139.873000,2021-09-04T07:39:21
35.751380,139.873000,2021-09-04T07:39:22
35.751380,139.873000,2021-09-04T07:39:23
35.751380,139.873000,2021-09-04T07:39:24
35.751380,139.873000,2021-09-04T07:39:25
35.751380,139.873000,2021-09-04T07:39:26
35.751380,139.872998,2021-09-04T07:39:26
35.751382,139.872998,2021-09-04T07:39:27
35.751382,139.872998,2021-09-04T07:39:28
35.751382,139.872998,2021-09-04T07:39:29
35.751382,139.872998,2021-09-04T07:39:30
35.751382,139.872998,2021-09-04T07:39:31
35.751382,139.872998,2021-09-04T07:39:32
35.751384,139.872998,2021-09-04T07:39:32
35.751384,139.872998,2021-09-04T07:39:33
35.751384,139.872997,2021-09-04T07:39:33
35.751384,139.872997,2021-09-04T07:39:34
35.751384,139.872997,2021-09-04T07:39:35
35.751384,139.872998,2021-09-04T07:39:35
35.751384,139.872998,2021-09-04T07:39:36
35.751385,139.872998,2021-09-04T07:39:36
35.751385,139.872998,2021-09-04T07:39:37
35.751385,139.872998,2021-09-04T07:39:38
35.751385,139.872998,2021-09-04T07:39:39
35.751387,139.872998,2021-09-04T07:39:39
35.751387,139.872998,2021-09-04T07:39:40
35.751387,139.872998,2021-09-04T07:39:41
35.751387,139.872998,2021-09-04T07:39:42
35.751387,139.872998,2021-09-04T07:39:43
35.751387,139.872998,2021-09-04T07:39:44
35.751387,139.872998,2021-09-04T07:39:45
35.751387,139.872998,2021-09-04T07:39:46
35.751387,139.872998,2021-09-04T07:39:47
35.751387,139.872998,2021-09-04T07:39:48
35.751387,139.872998,2021-09-04T07:39:49
35.751387,139.872998,2021-09-04T07:39:50
35.751385,139.872998,2021-09-04T07:39:50
35.751385,139.872998,2021-09-04T07:39:51
35.751385,139.872998,2021-09-04T07:39:52
35.751385,139.872998,2021-09-04T07:39:53
35.751385,139.872998,2021-09-04T07:39:54
35.751385,139.872998,2021-09-04T07:39:55
35.751385,139.872998,2021-09-04T07:39:56
35.751384,139.872998,2021-09-04T07:39:56
35.751384,139.872998,2021-09-04T07:39:57
35.751384,139.872998,2021-09-04T07:39:58
35.751384,139.872997,2021-09-04T07:39:58
35.751384,139.872995,2021-09-04T07:39:59
35.751384,139.872995,2021-09-04T07:40:00
35.751385,139.872995,2021-09-04T07:40:00
35.751385,139.872993,2021-09-04T07:40:00
35.751385,139.872993,2021-09-04T07:40:01
35.751385,139.872993,2021-09-04T07:40:02
35.751385,139.872993,2021-09-04T07:40:03
35.751385,139.872993,2021-09-04T07:40:04
35.751385,139.872993,2021-09-04T07:40:05
35.751385,139.872993,2021-09-04T07:40:06
35.751385,139.872993,2021-09-04T07:40:07
35.751385,139.872993,2021-09-04T07:40:08
35.751385,139.872993,2021-09-04T07:40:09
35.751385,139.872993,2021-09-04T07:40:10
35.751385,139.872993,2021-09-04T07:40:11
35.751385,139.872993,2021-09-04T07:40:12
35.751385,139.872993,2021-09-04T07:40:13
35.751385,139.872993,2021-09-04T07:40:14
35.751384,139.872993,2021-09-04T07:40:14
35.751384,139.872993,2021-09-04T07:40:15
35.751384,139.872993,2021-09-04T07:40:16
35.751384,139.872993,2021-09-04T07:40:17
35.751384,139.872993,2021-09-04T07:40:18
35.751382,139.872993,2021-09-04T07:40:18
35.751382,139.872993,2021-09-04T07:40:19
35.751382,139.872993,2021-09-04T07:40:20
35.751382,139.872993,2021-09-04T07:40:21
35.751380,139.872993,2021-09-04T07:40:21
35.751380,139.872993,2021-09-04T07:40:22
35.751380,139.872992,2021-09-04T07:40:22
35.751380,139.872992,2021-09-04T07:40:23
35.751380,139.872992,2021-09-04T07:40:24
35.751379,139.872992,2021-09-04T07:40:24
35.751379,139.872992,2021-09-04T07:40:25
35.751379,139.872992,2021-09-04T07:40:26
35.751377,139.872992,2021-09-04T07:40:26
35.751377,139.872992,2021-09-04T07:40:27
35.751377,139.872992,2021-09-04T07:40:28
35.751375,139.872992,2021-09-04T07:40:28
35.751375,139.872993,2021-09-04T07:40:28
35.751375,139.872993,2021-09-04T07:40:29
35.751375,139.872993,2021-09-04T07:40:30
35.751374,139.872993,2021-09-04T07:40:30
35.751374,139.872993,2021-09-04T07:40:31
35.751374,139.872993,2021-09-04T07:40:32
35.751372,139.872993,2021-09-04T07:40:32
35.751372,139.872992,2021-09-04T07:40:32
35.751372,139.872992,2021-09-04T07:40:33
35.751370,139.872992,2021-09-04T07:40:33
35.751370,139.872992,2021-09-04T07:40:34
35.751370,139.872992,2021-09-04T07:40:35
35.751369,139.872992,2021-09-04T07:40:35
35.751369,139.872992,2021-09-04T07:40:36
35.751367,139.872992,2021-09-04T07:40:36
35.751367,139.872992,2021-09-04T07:40:37
35.751367,139.872992,2021-09-04T07:40:38
35.751367,139.872992,2021-09-04T07:40:39
35.751365,139.872992,2021-09-04T07:40:39
35.751365,139.872992,2021-09-04T07:40:40
35.751365,139.872992,2021-09-04T07:40:41
35.751365,139.872992,2021-09-04T07:40:42
35.751365,139.872992,2021-09-04T07:40:43
35.751365,139.872992,2021-09-04T07:40:44
35.751364,139.872992,2021-09-04T07:40:44
35.751364,139.872992,2021-09-04T07:40:45
35.751364,139.872992,2021-09-04T07:40:46
35.751364,139.872992,2021-09-04T07:40:47
35.751364,139.872992,2021-09-04T07:40:48
35.751364,139.872992,2021-09-04T07:40:49
35.751364,139.872992,2021-09-04T07:40:50
